Daily Avg Temperature (°C),"Daily Internet Searches for ""Penguin"""
11.236203565420874,674
28.521429192297486,963
21.959818254342153,842
17.959754525911098,340
4.680559213273096,663
4.679835610086079,195
1.7425083650459838,999
25.985284373248057,833
18.033450352296263,584
21.242177333881365,506
0.6175348288740734,330
29.09729556485983,848
24.973279224012654,754
6.370173320348284,270
5.454749016213018,640
5.502135295603015,135
9.127267288786133,624
15.742692948967136,259
12.958350559263472,938
8.736874205941257,798
18.355586841671386,342
4.184815819561255,185
8.764339456056545,895
10.99085529881075,677
13.682099526511077,781
23.555278841790408,656
5.990213464750792,673
15.427033152408349,745
17.772437065861276,895
1.3935123815999317,127
18.22634555704315,719
5.115723710618746,655
1.9515477895583855,439
28.466566117599996,897
28.96896099223678,430
24.251920443493834,739
9.13841307520112,605
2.930163420191516,447
20.526990795364707,572
13.204574812188039,330
3.6611470453433648,289
14.855307303338105,324
1.0316556334565519,484
27.279612062363462,476
7.7633994480005075,382
19.87566853061946,732
9.351332282682328,727
15.602040635334324,844
16.40130838029839,358
5.545633665765811,458
29.087538832936758,809
23.253984700833435,555
28.184968246925674,510
26.844820512829465,748
17.936999364332554,417
27.656227050693506,776
2.6547750615575847,324
5.879485872574356,918
1.356818667316142,333
9.759909922897931,783
11.660318690684461,763
8.140470953216877,926
24.86212527455788,473
10.702599800807679,771
8.428035290621423,707
16.280882494747456,571
4.22772674924288,332
24.06590942262119,791
2.236519310393125,212
29.60660809801552,929
23.167343078899723,596
5.961470446025173,541
0.16566351370807197,663
24.463842853645026,367
21.205720315428515,609
21.87021504122962,906
23.138110400578373,485
2.2213395520227106,486
10.753971856328178,212
3.4760717857538914,712
25.893102776267806,724
18.698943804826737,180
9.926940745579476,798
1.906750508580709,212
9.329469651469866,101
9.75549966080241,741
21.88818535014192,319
19.126724140656393,665
26.616382277289794,954
14.16644775485848,835
3.587827378149051,324
21.39734361668985,484
22.823551458506923,502
16.83831592708489,737
23.12901539863683,229
14.813867890931721,152
15.681984881459822,783
12.826230550756488,829
0.7625738023228557,771
3.2367428097991335,809
